Company name,Phone number,website (Homepage),Location,Company type,Company Description by Thomasnet,Company Description by the company,Linkedin URL,Annual Sales:,No of Employees:,MANUFACTURING SERVICES,ALL PRODUCTS / SERVICES
Mod-Tronic Instruments Limited,800-794-5883,https://www.mod-tronic.com/,"Brampton, ON L6T5G1",Distributor,"Supplier & stocking distributor of instruments for industrial, process, medical, military, aerospace, building automation, HVAC & rotating machinery applications. Products include alarm trips, analog meter relays & panel meters, bi-metal thermostats, rotating electrical connectors, multi-channel, temperature, process, power & rotary speed controllers, current sensors, transducers, switches & transformers, data acquisition recorders, pressure gauges & transmitters, electrical power measurement, flexible circuits & heaters, handheld instruments, humidity sensors, transmitters & switches, infrared temperature sensors, scanners & thermal switches, loop power supplies, magnetic pickups, manometer, mercury contactors, position transducers, resistance temperature detectors (RTDs), signal conditioners & isolators, slip rings, solid state relays, speed switches, square root extractors, tachometers, temperature indicators, temperature & process monitors, thermocouples, timers & valve positioners.","When quality and performance are as important as price... You can count on our proven brands!

This has been our company motto since 1972 and 50 years later we pride ourselves more than ever on providing our customers with quality products at competitive prices.

We are an authorized stocking distributor of 14 leading manufacturers (Absolute Process Instruments, Camille Bauer, Cecomp Electronics, Dwyer, Dynalco, Exergen, Love Controls, Mercotac, Minco, Shinko, Simpson, Veris) of industrial/commercial sensors, transducers, heaters, flex-circuits and instrumentation. We are very proud to say that the majority of the products we sell are Made in the USA.

Our sales force has over 80 years of combined experience solving our customers unique and diverse application challenges. We have earned a valued reputation in our industry for working with our customers. We take the time necessary to fully understand your application, analyze your requirements and offer you the correct products at competitive More... prices.

 We stock thousands of catalog items for same day shipment to anywhere in North America and most countries around the world. Don't see the exact product you require? Tell us what you need, most of our manufacturers offer custom built solutions to meet your exact requirements.

 Thank you for taking the time to learn more about our company. We are proud of the excellent products and service that we offer and we would appreciate the opportunity to work with you and your company. Less",www.linkedin.com/company/2854259,$1 - 4.9 Mil,1-9  Employees,"Gauges: Electronic
Gauges
Gauges: Absolute Pressure
Gauges: Alarm
Gauges: Compound


Gauges: Differential Pressure
Gauges: Digital Pressure
Gauges: Dwyer
Gauges: Force Measuring
Gauges: Gap Measuring

View all Gages categories","All Products / Services

Sensors / Detectors / Transducers
Heaters
Actuators
Adapters
Alarms
Amplifiers
Automation Systems
Automotive Parts
Barriers
Calibrators


Cells
Circuits
Cold Chain Equipment
Conditioners
Connectors
Contactors
Controls and Controllers
Counters
COVID-19 Response
Data Acquisition Systems

View all products / services offered"
"MSI-Viking Gage, LLC",864-433-9771,https://www.msi-viking.com/,"Duncan, SC 29334 | Locations",Distributor,"Distributor of precision measuring and metrology products including gages, calipers, micrometers, blocks, surface plates, indicators and scales. Balances, comparators, profilometers, microscopes, transducers, torque wrenches and workshop or hand tools are also offered. CMM measuring, cutting and finishing machinery are provided. Testing, calibration, inspection, maintenance and repair services are available. Used equipment is provided. Serves metals, plastics, automotive, aerospace, medical, energy, machining, food and beverage industries.","MSI Viking is a leading supplier of precision measuring technologies. We are a consultative and collaborative sales and service organization. Our focus is on first understanding the deeper needs of our customers, then ensuring our products and solutions fit these needs. In addition to offering a vast range of metrology products, we provide ISO 17025 accredited calibration, dimensional inspection, and repair services. Plus, we can deliver custom engineered solutions leveraging advanced automation and control systems, machine vision, and robotic technologies.",www.linkedin.com/company/msi-viking-gage-llc,Not Available,100-199  Employees,"Gauges: Electronic
Gauges
Gauges: Air
Gauges: Air Pressure
Gauges: Air, Dimensional


Gauges: Aircraft & Aerospace
Gauges: Angular Measuring
Gauges: Automotive
Gauges: Bore
Gauges: Brown & Sharpe

View all Gages categories","All Products / Services

Calibration Services
Metrology Equipment
Metrology Services
Testing Services
CMM Machinery
Gages
Imaging Equipment
Inspection Services
Testers
Tomography Equipment


Balances
Blocks
Bobs
Calibrators
Calipers
Cases
Cells
Clamps
Comparators
Consumables

View all products / services offered"
Birdsall Tool & Gage,800-486-5150,https://www.birdsalltool.com/,"Farmington Hills, MI 48335",Custom Manufacturer,"Custom manufacturer of gages for automotive, medical and weapon industries. Types include in-process, dial, fixture, concentricity, hole location, dimensional, go and no-go. Camshaft, aerospace navigation, crankshaft, piston, fixed, inspection, ring, plug, thread, snap, electronic, mechanical, data collection and setting gages are provided. Dies, tooling, transducers, benches, rings, pins, indicators and columns are also offered. 3D printing additive manufacturing services are available. Secondary services such as design and engineering are provided.","For more than 40 years, Birdsall Tool & Gage has delivered quality and reliability in an ever-changing manufacturing world. We listen to our customers and understand their requirements and can anticipate their needs. Since 1970 we've taken our responsibility seriously, and with cooperation and a team spirit, we can provide total system support and manufacturing of our customers' gaging needs.",www.linkedin.com/company/birdsall-tool-&-gage/about/,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Custom
Gaging Systems
Gauges
Gauges: Air


Gauges: Aircraft & Aerospace
Gauges: Automotive
Gauges: Brake
Gauges: Brown & Sharpe
Gauges: Camshaft

View all Gages categories","All Products / Services

Gages
Tooling
Engineering Services
Fixtures
Additive Manufacturing Services
Benches
Columns
Dies
Fabrication Services
Indicators


Inspection Equipment
Instruments
Machine Tools
Machining
Measuring Equipment
Pins
Research, Design and Development Services
Rings
Sensors / Detectors / Transducers
Tool and Die Services

View all products / services offered"
Accusize Industrial Tools,855-290-5785,https://accusizetools.com/,"Richmond Hill, ON L4B1E6",Distributor,"Distributor of industrial tools for the metalworking industry including measuring instruments, machine tool accessories and industrial cutting tools. Products include bore gages, height gages, calipers, indicators, micrometers, precision levels, drill chucks, lathe tooling, milling machine tooling, cutter grinders, drill chucks, grinding vises, diamond needle file points, carbide inserts, drill bits, end mills, reamers, taps, collet sets, durometers, force gauges and hardness testers.","Accusize Industrial Tools supply professional tools to the metalworking industry since 2008, customers are happy with the price as well as the good quality for the professionals. Products including measuring instruments, machine tool accessories, and industrial cutting tools. Products include bore gages, height gages, calipers, indicators, micrometers, precision levels, drill chucks, lathe tooling, milling machine tooling, cutter grinders, drill chucks, grinding vises, diamond needle file points, carbide inserts, drill bits, end mills, reamers, taps, collet sets, durometers, force gauges and hardness testers etc.",www.linkedin.com/company/accusize-industrial-tools/,$1 - 4.9 Mil,1-9  Employees,"Gauges: Electronic
Gauges
Gauges: Bore
Gauges: Coating Thickness
Gauges: Disc


Gauges: Force Measuring
Gauges: Height
Gauges: Metric
Gauges: Screw Pitch
Gauges: Surface Roughness Measuring

View all Gages categories","All Products / Services

Bits
Mills
Automation Systems
Inserts
Reamers
Tools
Accelerometers
Adapters
Anvils
Arbors


Attachments
Backs and Backing
Bars
Bases
Batteries
Blades
Blocks
Borescopes
Broaches
Calipers

View all products / services offered"
"Capacitec, Inc.",877-421-5766,https://www.capacitec.com/,"Ayer, MA 01432",Manufacturer,"Manufacturer of sensors & electronic instruments including non-contact displacement, thin gap & high temperature sensors, gages, racks, amplifier cards, clock driver cards & accessories. Sensors are suitable for printers, coaters, extruders, accelerators, linear inductive motors, diesel fuel injectors & turbochargers, automotive & aircraft assembly, film manufacturing, brake testing, metal & glass forming, strain extensometry & silicon wafer deposition, etching & processing applications.","About Capacitec Inc.

Capacitec is a global technology company dedicated to advancing the capacitive principle of measurement physics to its highest level in sensor design. Our scientific and industrial customers depend on us for precision movement detectors, part-dimensional sizing, thin gap sensors and aircraft engine rotational alignment. Over twenty-five years of product line history has demonstrated Capacitec's strong support in all markets where a more sophisticated ruler is required and in areas where traditional sensors cannot fit or survive the environment. 

A realized claim of extremely high sensitivity to minute physical/mechanical changes and exceptional amplifier output stability support capacitive sensor applications especially in severe environments of temperature, magnetic fields, high radiation and non-contact, non-intrusive applications. An aggressive research and development program continues to drive Capacitec's advances in instrumentation, digital circuitry and demonstrated More... longevity in rugged packaging design. These investments combined with updated manufacturing techniques enable us to consistently provide products of superior performance, stability and economy of packaging and pricing. Less",,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Gap Measuring
Gauges: Displacement
Gauges: Industrial
Gauges


Gauges: Air Gap
Gauges: Bore
Gauges: Brake
Gauges: Concentricity
Gauges: Custom

View all Gages categories","All Products / Services

Sensors / Detectors / Transducers
Gages
Amplifiers
Calibrators
Cards
Drivers
Electronics
Extensometers
Fixtures
Holders


Indicators
Inspection Equipment
Instruments
Measuring Equipment
Monitors
Probes
Racks
Testers
Vibrometers
Wands"
Western Gage Corp.,855-261-4774,https://www.westerngage.com/,"Camarillo, CA 93012-8059",Custom Manufacturer,"Custom manufacturer of dimensional air gages & air gage readouts. Types of gages include air probes, air rings, plug & master ring gage masters. Gages are used for measuring variety of dimensions including internal & external diameter, height, flatness, perpendicularity & concentricity. Gages are available with digital display & data recording features. Gage calibration services are also available. Gages are made from hardened tool steel, chrome plated tool steel or carbide. Applications include machine tool, automobile, aviation, instrumentation, electronics industry & scientific laboratory.",Dimensional air gages to assure the quality of your precision parts since 1968.,,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges
Gauges: American Gauge Design (AGD) Standard
Gauges: Taper Measuring
Gaging Systems


Gauges: Air
Gauges: Air, Dimensional
Gauges: Bore
Gauges: Carbide
Gauges: Comparator

View all Gages categories","All Products / Services

Gages
Calibration Services


Calibrators
Probes"
Digivac,855-541-0152,https://www.digivac.com/,"Morganville, NJ 07751",Manufacturer,"Manufacturer of vacuum instruments and scientific controllers. Products include vacuum gauges, vacuum controllers, vapor pressure controllers, pumps, filters and traps. Accessories include sensors, adapters, flanges, vacuum fittings, protective cases, hoses, vacuum greases, test ports, hose clamps and siphons. Provides software to monitor, control and analyze the vacuum pressure readings. Suitable for manufacturing, scientific, laboratory, research, botanical processing, and cryogenic applications. Serves the power, semiconductor, HVAC, marine and medical industries. One year warranty available.","At DigiVac, we are the home of vacuum engineering excellence. 

We thrive on innovation and engineer vacuum solutions that are functional, durable and state of the art. Our deep understanding of research and processing applications delivers measurement and control instruments you can rely on. We design and manufacture vacuum measurement and control solutions for all applications in rough vacuum, process vacuum, industrial vacuum and research and development. We have been delivering quality American made scientific instruments for over 35 years.

Our flagship products are:

The patented Bullseye precision gauge--portable and precise vacuum gauge that gives you visual graphics and the option of remote monitoring.

StrataVac line of products is an expandable vacuum gauge and controller that can monitor and control your vacuum system at one point on up to 4 points in your system.

VPC | vapor pressure controller is the ideal pressure controller to precisely process, extract, and isolate distillate More... in industrial, solvent recovery, and research applications.

 The model 200 is a wide-range laboratory grade vacuum gauge that measures through 6 decades of wide range rough vacuum.

 We offer calibration services. Including NIST calibration with traceable data.

 We offer OEM and custom gauges and have a team of engineers on staff that have a wealth of vacuum and temperature experience to help you tackle tough vacuum questions.

 Not sure where to start with getting the tools you need for vacuum applications? Call us. Our team of engineers can assist you in finding the right equipment to help solve your problem. Less",www.linkedin.com/company/digivac,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges: Vacuum
Gauges
Gauges: Absolute Pressure
Gauges: Alarm


Gauges: Cold Cathode
Gauges: Combined Indicating & Recording
Gauges: Cryogenic
Gauges: Custom
Gauges: Digital Pressure

View all Gages categories","All Products / Services

Controls and Controllers
Gages
Adapters
Calibration Services
Cases
Clamps
Cold Chain Equipment
Cryogenic Equipment
Eliminators
Engineering Services


Exhaust Systems
Exhausters
Filters
Fittings
Freezers
Grease
Hose
Instruments
Interfaces
Laboratories

View all products / services offered"
Fastenal,877-507-7555,https://www.fastenal.com/home,"Winona, MN 55987 | Locations",Distributor,"Distributor of industrial supplies, with specialties in threaded fasteners and accessories. Nuts, bolts, screws, sockets, washers, anchors, pins, and studs offered in product line. Other products include power tools/equipment, cutting tools, hydraulic, and pneumatic equipment. Other products serve industries such as plumbing, electric, manufacturing, welding, and engineering. Customization of products are available. CAD layout design, mechanical testing, gag calibration, and tool repair also in offered services.",,www.linkedin.com/company/10564,$250 Mil. and over,1000+  Employees,"Gauges: Electronic
Gauges
Gauges: American Gauge Design (AGD) Standard
Gauges: Bore
Gauges: Checking


Gauges: Coating Thickness
Gauges: Depth
Gauges: Dial
Gauges: Diameter
Gauges: Drill

View all Gages categories","All Products / Services

Abrasive Compounds / Media
Absorbers
Acetal
Adapters
Additives
Adhesives
Aerosols
Agents
Air Filtration Equipment & Supplies
Alarms


Aluminum
Anchors
Angles
Applicators
Aprons
Arbors
Arms
Arresters
Attachments
Backpacks

View all products / services offered"
Emerson Automation Solutions Final Control US LP,281-274-4400,https://www.emerson.com/en-us,"Stafford, TX 77477",Manufacturer,"Manufacturer and distributor of valves, actuators and controls. Products include ball, butterfly, control, gate, globe and check, knife gate, pressure relief and triple offset valves, drip and tracer steam traps, desuperheaters, manifolds and flame arresters. Instrument, compressor, primary isolation, sampling, pilot operated, internal and reserve capacity and automatic recirculation valves, tank blanketing regulators, manual operators, network devices, gage cocks, water alarm systems, flat mount dual position monitors, pneumatic positioners, jet pumps, and conservation and emergency vents are available. Capabilities include inspection, installation and commissioning, testing, engineering, asset integrity and replacement management, consulting, maintenance and repair and valve automation. Industries served include chemical and petrochemical, oil and gas, power generation, building and construction, food and beverage, mining, marine and water. Meets ASME, DIN, NATA and OHSAS standards.",,,Not Available,Not Available  Employees,"Gauges: Electronic
Gauges
Gauges: Boiler
Gauges: Chemical
Gauges: Drum Level


Gauges: Flatness
Gauges: Glass
Gauges: High Pressure
Gauges: Industrial
Gauges: Level, Magnetic

View all Gages categories","All Products / Services

Actuators
Adapters
Alarms
Arresters
Blanketing Systems
Columns
Connectors
Controls and Controllers
Desuperheaters
Enclosures


Fittings
Gages
Grips
Handles, Pulls and Levers
Indicators
Isolators
Kits
Manifolds
Mining Equipment
Monitoring Systems

View all products / services offered"
ENM Company,888-372-0465,http://www.enmco.com/,"Chicago, IL 60646",Manufacturer,"ISO 9001:2008 certified. Full line manufacturer of digital counters, hour meters, adapters, tachometers, maintenance meters, battery discharge indicators & digital timing devices including mechanical, electromechanical, electronic & custom. Counter, hourmeter & timing applications include, OEM, medical, office products, casino, off-road equipment, standby generators, count rate, high/low temperature testing, shock, pulse width, distance measurement & count inventory. Types of counters & hourmeter include AC, DC, AC/DC, combination hour meter/counter & special design.","ENM Company extends its roots back to 1957, when it first began importing counters to the United States from a company in Enfield, England, called English Numbering Machines. 

Today, ENM is its own corporation, manufacturing its vast array of counters, hour meters, adapters and digital products right here in Chicago, Illinois.

ENM is proud to have a product line that covers almost any counting or timing application. With ENM as a supplier, you will have the highest quality, quickest delivery, and the expertise of over 55 years of experience as an OEM supplier of counters and hour meters on your side. 

Our website describes standard ENM counting and timing devices that are popularly specified for original equipment applications. But this does not represent all ENM products or variations. If you do not see what you are looking for, ask for it! We are proud to remain one of the few manufacturers in the USA.",,$10 - 24.9 Mil,200-499  Employees,"Gauges: Electronic
Gauges


Gauges: Fuel","All Products / Services

Adapters
Ammeters
Brackets
Clocks
Controls and Controllers
Counters
Countertops
Electromechanical Devices
Electronic Components
Electronics
Gages
Gaskets
Gearheads and Gearboxes


Gears
Handles, Pulls and Levers
Hardware
Indicators
Instruments
Machinery
Meters
Motors
Mounts
Movements
Numbering Machinery
Odometers
Recorders

View all products / services offered"
"JB Tool, Die & Engineering, Inc.",260-483-9586,https://www.jbtool.com/index.html,"Fort Wayne, IN 46808",Custom Manufacturer,"Custom manufacturer of molds, tooling fixtures, dies, slitting, folding, molding and cap handling machinery. Capabilities include milling, turning, drilling, EDM machining, boring, broaching, cutting, threading, forming, tapping and knurling services. System integration services for bending, winding, drilling and tapping, punching, swaging, testing and welding machinery are available. Other services such as design, engineering, testing, repair and rebuilding are also provided. Suitable for shafts, castings, bushings, spindles, turbine or hydraulic components, molds, dies, forgings and gauge applications. Prototype and small to large production volume are available. Rush and emergency services are offered. Serves the aerospace, agricultural, automotive, food processing, marine, medical, military, packaging, electronics and pharmaceutical industries.",,,$10 - 24.9 Mil,50-99  Employees,"Gauges: Electronic
Gauges
Gauges: Automotive
Gauges: Custom
Gauges: Grinding


Gauges: Industrial
Gauges: Inspection
Gauges: Marine
Gauges: Miniature
Gauges: Plastic

View all Gages categories","All Products / Services

Aerospace Components
Aircraft Parts
Analytical Services
Assembly Machinery
Automation Systems
Automotive Parts
Balancing Services
Benders
Blocks
Boat and Ship Parts


Boring Services
Broaches
Broaching Services
Bushings
Cams
Casting Services
Centers
Coilers
Consulting Services
COVID-19 Response

View all products / services offered"
Ogontz Corp.,800-523-2478,https://www.ogontz.com/,"Willow Grove, PA 19090",Manufacturer,"Engineering of temperature, pressure & flow products including self-operated control valves for temperature regulation; steam tracing, freeze & scald protection, unit heated controls, heat exchange control, hot & cold water mixing. Also thermostatic steam traps including pinch traps, bi-metallic for pressures from 0 to 1200 psi. Also railroad & mass transit products, custom engineered electronic controls, cab signal testers, freeze protection, HVAC controls, speedometers, liquid level gauges, heaters & defrosters.",,,$5 - 9.9 Mil,10-49  Employees,"Gauges: Electronic
Gauges


Gauges: Measuring","All Products / Services

Controls and Controllers
Gages
Heaters
Instruments
Manifolds
Panels
Protectors
Railroad Equipment


Regulators
Speedometers
Steam Specialties
Strainers
Testers
Thermostats
Traps
Valves"
Maya Gage Co.,248-471-0820,https://www.mayagage.com/index.php,"Farmington Hills, MI 48336",Custom Manufacturer,"Precision CNC machining services including milling, turning and fabrications. Additive Manufacturing (3D Printing) and prototyping services are available. Hydraulic spline arbors, chucks, gages and fixtures are offered. Distributor of spring loaded probes. System integrator of automation systems. Serves aerospace, military, energy and automotive industries. Grinding is provided as a secondary service.",,,$250 Mil. and over,Not Available  Employees,"Gauges: Electronic
Gauges
Gauges: Air
Gauges: Automotive
Gauges: Brake


Gauges: Custom
Gauges: Master
Gauges: Precision
Gauges: Runout
Gauges: Sweep","All Products / Services

Additive Manufacturing Services
Arbors
Automation Systems
Automotive Parts
Chucks and Collets
Fabrication Services
Fixtures
Gages


Integration Services
Job Shop Services
Machining
Milling Services
Probes
Prototyping Services
Tooling
Turning Services"
Progage,440-951-4477,http://www.progage.com,"Mentor, OH 44060-4866",Turnkey Systems Integrator,"Design, fabrication, and installation of automated inspection systems for the aerospace and automotive industries. CMM, inspection, workholding, machining, core, and waterjet fixtures, wax setters, airfoil gauges, and tooling are offered. Also, a distributor of probes, digital readouts, encoders, connectors, and gaging software.",,,$100 - 249.9 Mil,Not Available  Employees,"Gauges: Electronic
Gauges
Gauges: Airfoil
Gauges: Automotive


Gauges: Custom
Gauges: Hydraulic
Gauges: Precision","All Products / Services

Connectors
Encoders
Fixtures
Gages
Inspection Equipment


Integration Services
Probes
Readout Systems
Software
Tooling"
LMI Corporation (Linear Measurement Instruments Corp.),810-714-5811,https://www.lmicorporation.com/617.html,"Fenton, MI 48430",Manufacturer,"Manufacturer of precision measuring systems & instruments. Products include sequential flush & gap gages, surface probes, digital indicators, ripple gages, laser gages, digital transmitters, data collectors, wireless devices, automated gaging systems & support software utilities. Repairing & calibration services are available. Custom products are also available. Markets served include automotive, aerospace, glass & metal stamping. Repaired products are available with 30 day warranty from the date of shipment. Software utilities are available with 60 day warranty from the date of invoice. Gaging & tooling aids are available with 12 month warranty from the date of shipment. Data collectors are available with 90 day warranty from date of invoice.","Fenton, MI-based LMI Corporation has a strong Research & Development division to meet the rigorous quality standards of today's leading manufacturers. With gages and data collection software designed for use in the automotive, aerospace, stamping, and glass fields, LMI Corporation can help you establish a competitive advantage on the road to quality and success. From the industry-standard LMI 200 surface check probe to the G-WHIZ closure efforts device, LMI Corporation can provide quick and accurate quality solutions to address your quality issues. Our experienced engineering department designs special gages to suit unique applications.",www.linkedin.com/company/lmi-corporation,$1 - 4.9 Mil,10-49  Employees,"Gauges: Electronic
Gaging Systems
Gauges
Gauges: Air
Gauges: Air, Dimensional


Gauges: American Gauge Design (AGD) Standard
Gauges: Angular Measuring
Gauges: Automatic Control
Gauges: Automotive
Gauges: Automotive, Heavy Duty

View all Gages categories","All Products / Services

Adapters
Automation Systems
Blocks
Brackets
Calibrators
Cold Chain Equipment
Communication Systems
Data Acquisition Systems
Data Collection Systems
Data Loggers


Electronics
Fixtures
Gages
Indicators
Inspection Equipment
Instruments
Interfaces
Lasers
Manufacturing Services
Measures

View all products / services offered"
